cards_1,cards_2,isHigher,guessL,guessR,respKey_Guess,resp_Guess,reportL,reportR,respKey_Report,resp_Report,rt_Guess,rt_Report,isCorrectGuess,isCorrectReport,totalEarnings,guessEarnings,reportEarnings,tTrialStart,tGuessOnset,tGuessResp,tCard1Fixation,tCard1Onset,tCard1Offset,tCard2Fixation,tCard2Onset,tCard2Offset,tReportOnset,tReportResp,tReportFrameOnset,tReportOffset,tTrialEnd,tSummaryOnset,tSummaryOffset,isTest,p1,peP1,riskP1,peRiskP1,p2,riskP2,peP2,peRiskP2
1,6,1,2,1,2,1,1,2,1,1,3.64671924052527,1.517934303527,1,1,15,10,5,86815.6630132823,86816.6799006201,86820.3266198606,86821.4626286235,86822.9792374309,86824.9955598308,NaN,86826.5120848781,NaN,86828.5285212589,86830.0464555624,86830.1614571989,86831.1780988526,86831.1783089724,NaN,NaN,1,1,1,0.407407407407407,0.592592592592593,1,0,0,0
6,2,0,1,2,2,2,2,1,2,1,5.83440170330869,1.07460105761129,1,1,15,10,5,86831.4115877753,86832.4280957165,86838.2624974198,86839.3940306609,86840.9105214961,86842.9269858168,NaN,86844.4434763668,NaN,86846.4599592191,86847.5345602767,86847.6429321653,86848.6597012594,86848.6600334025,NaN,NaN,1,0.111111111111111,0.111111111111111,0.407407407407407,-0.395061728395062,1,0.987654320987654,0.888888888888889,-0.197530864197531
3,6,1,1,2,2,2,1,2,2,2,3.22581855463795,1.12214998387208,0,1,-5,-10,5,86848.8763606464,86849.8929213314,86853.118739886,86854.2424334089,86855.7586086368,86857.7754048155,NaN,86859.2919255863,NaN,86861.3083690945,86862.4305190784,86862.5413468304,86863.5581241925,86863.5584811394,NaN,NaN,1,-0.555555555555556,-0.555555555555556,0.407407407407407,-0.0987654320987654,-1,0.691358024691358,-0.444444444444444,-0.493827160493827
9,3,0,1,2,1,1,2,1,2,1,2.06334525436978,1.25465228463872,0,0,-15,-10,-5,86863.7747373931,86864.7913223117,86866.8546675661,86867.9743394486,86869.4908188796,86871.5072968852,NaN,86873.0237352617,NaN,86875.0401551066,86876.2948073912,86876.4065594419,86877.4233211234,86877.4236578281,NaN,NaN,1,-0.777777777777778,-0.777777777777778,0.407407407407407,0.197530864197531,-1,0.395061728395062,-0.222222222222222,-0.345679012345679
8,2,0,2,1,NaN,-1,NaN,NaN,NaN,NaN,7.10040016831772,NaN,NaN,NaN,-10,NaN,NaN,86877.6399360347,86878.6564881666,86885.7568883349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.555555555555556,0.555555555555556,0.407407407407407,-0.0987654320987654,NaN,0.691358024691358,NaN,NaN
10,3,0,1,2,2,2,1,2,2,2,1.71014282440592,0.659459493355826,1,0,5,10,-5,86901.8872908639,86902.9039422111,86904.6140850355,86905.7369808446,86907.2535041813,86909.2699522512,NaN,86910.7864581967,NaN,86912.8028900159,86913.4623495092,86913.5692856271,86914.5860550063,86914.5864073917,NaN,NaN,1,1,1,0.407407407407407,0.592592592592593,1,0,0,0
8,1,0,2,1,1,2,2,1,2,1,3.87509565151413,2.34533135054517,1,1,15,10,5,86914.8026277226,86915.8192482788,86919.6943439304,86920.8186053752,86922.335176894,86924.3516968095,NaN,86925.8682241376,NaN,86927.8845769836,86930.2299083342,86930.3341707712,86931.3508192674,86931.3510316679,NaN,NaN,1,0.555555555555556,0.555555555555556,0.407407407407407,-0.0987654320987654,1,0.691358024691358,0.444444444444444,-0.493827160493827
9,6,0,1,2,2,2,1,2,1,1,1.95043483664631,2.04936217115028,1,1,15,10,5,86931.5676063799,86932.5840835301,86934.5345183668,86935.666968494,86937.183641794,86939.2001183741,NaN,86940.7166280259,NaN,86942.7330780916,86944.7824402627,86944.8992959136,86945.9160516079,86945.9163851765,NaN,NaN,1,0.777777777777778,0.777777777777778,0.407407407407407,0.197530864197531,1,0.395061728395062,0.222222222222222,-0.345679012345679
2,4,1,1,2,NaN,-1,NaN,NaN,NaN,NaN,7.10026046863641,NaN,NaN,NaN,-10,NaN,NaN,86946.132744637,86947.1492990497,86954.2495595183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,-0.777777777777778,-0.777777777777778,0.407407407407407,0.197530864197531,NaN,0.395061728395062,NaN,NaN
7,3,0,2,1,2,1,1,2,1,1,1.95701298123458,2.38391469309863,0,0,-15,-10,-5,86956.8481125147,86957.8647912317,86959.8218042129,86960.9477976487,86962.4643035942,86964.480776468,NaN,86965.9971150589,NaN,86968.0137051094,86970.3976198025,86970.5132378282,86971.5300043563,86971.5303533205,NaN,NaN,1,-0.333333333333333,-0.333333333333333,0.407407407407407,-0.296296296296296,-1,0.888888888888889,-0.666666666666667,-0.444444444444444
5,9,1,2,1,2,1,1,2,1,1,1.49605106053059,1.34898321436776,1,1,15,10,5,86973.229795434,86974.2463079369,86975.7423589974,86976.8626632348,86978.3792960504,86980.3957555244,NaN,86981.9122372363,NaN,86983.928690438,86985.2776736524,86985.3950122651,86986.4116268342,86986.4118127203,NaN,NaN,1,0.111111111111111,0.111111111111111,0.407407407407407,-0.395061728395062,1,0.987654320987654,0.888888888888889,-0.197530864197531
1,4,1,1,2,2,2,1,2,2,2,2.07296942231187,2.18414556821517,0,1,-5,-10,5,86986.6284187934,86987.6449977249,86989.7179671472,86990.8446502433,86992.3610806369,86994.3774577166,NaN,86995.8940597413,NaN,86997.9105685378,87000.094714106,87000.2100832382,87001.2268805573,87001.2272172621,NaN,NaN,1,-1,-1,0.407407407407407,0.592592592592593,-1,0,0,0
6,7,1,2,1,2,1,2,1,2,1,3.13742429131526,1.42144686679239,1,1,15,10,5,87001.4434829241,87002.4601009145,87005.5975252058,87006.7262855507,87008.2429518888,87010.2592427023,NaN,87011.7757574859,NaN,87013.7922628612,87015.213709728,87015.3252057577,87016.3419520437,87016.3422978717,NaN,NaN,1,-0.111111111111111,-0.111111111111111,0.407407407407407,-0.395061728395062,1,0.987654320987654,1.11111111111111,0.246913580246914
7,5,0,1,2,2,2,2,1,2,1,6.87046988130896,1.24548114283243,1,1,15,10,5,87016.5582311055,87017.5751521586,87024.4456220399,87025.574290012,87027.0907899704,87029.1072445976,NaN,87030.6237662237,NaN,87032.6402177148,87033.8856988577,87033.9898609389,87035.0066813513,87035.007054549,NaN,NaN,1,0.333333333333333,0.333333333333333,0.407407407407407,-0.296296296296296,1,0.888888888888889,0.666666666666667,-0.444444444444445
8,7,0,2,1,1,2,1,2,1,1,2.7014218576951,1.48325171830948,1,1,15,10,5,87035.2232663269,87036.2398657857,87038.9412876434,87040.072774413,87041.5892983198,87043.605707616,NaN,87045.1222446375,NaN,87047.1386636271,87048.6219153454,87048.7383074214,87049.7550899153,87049.7554283306,NaN,NaN,1,0.555555555555556,0.555555555555556,0.407407407407407,-0.0987654320987654,1,0.691358024691358,0.444444444444444,-0.493827160493827
2,8,1,2,1,2,1,1,2,1,1,2.66043625076418,1.30784194206353,1,1,15,10,5,87051.4882432736,87052.5047666103,87055.1652028611,87056.2877020941,87057.8036500962,87059.8206877558,NaN,87061.3371848632,NaN,87063.3535493984,87064.6613913404,87064.7699092009,87065.7867521363,87065.7870936877,NaN,NaN,1,0.777777777777778,0.777777777777778,0.407407407407407,0.197530864197531,1,0.395061728395062,0.222222222222222,-0.345679012345679
8,5,0,1,2,2,2,1,2,1,1,2.10572529226192,1.0149837891222,1,1,15,10,5,87066.0032746747,87067.0199049244,87069.1256302166,87070.2527877215,87071.7693418491,87073.785868607,NaN,87075.3023736972,NaN,87077.3185058748,87078.3334896639,87078.4514520784,87079.4685764089,87079.4689099775,NaN,NaN,1,0.555555555555556,0.555555555555556,0.407407407407407,-0.0987654320987654,1,0.691358024691358,0.444444444444444,-0.493827160493827
6,5,0,2,1,2,1,1,2,2,2,2.36704438801098,1.1929993921658,0,1,-5,-10,5,87079.701909096,87080.7183329323,87083.0853773203,87084.2180746304,87085.7345714527,87087.7510309267,NaN,87089.2674273932,NaN,87091.2840319838,87092.477031376,87092.583653027,87093.6004477803,87093.6007918976,NaN,NaN,1,-0.111111111111111,-0.111111111111111,0.407407407407407,-0.395061728395062,-1,0.987654320987654,-0.888888888888889,-0.197530864197531
3,5,1,2,1,2,1,2,1,2,1,2.4588644894684,1.18606401552097,1,1,15,10,5,87093.8337679229,87094.8504346058,87097.3092990953,87098.4332329586,87099.9497702653,87101.9662077865,NaN,87103.4827128767,NaN,87105.4990337914,87106.6850978069,87106.7988127807,87107.8155713261,87107.815900048,NaN,NaN,1,0.555555555555556,0.555555555555556,0.407407407407407,-0.0987654320987654,1,0.691358024691358,0.444444444444444,-0.493827160493827
2,6,1,1,2,1,1,1,2,1,1,5.09239395083569,1.22646003277623,1,1,15,10,5,87108.0322421172,87109.048779709,87114.1411736598,87115.2648101624,87116.7812357093,87118.797764748,NaN,87120.3144066135,NaN,87122.3305953145,87123.5570553473,87123.6633271789,87124.6805045382,87124.6808483705,NaN,NaN,1,0.777777777777778,0.777777777777778,0.407407407407407,0.197530864197531,1,0.395061728395062,0.222222222222222,-0.345679012345679
